Car_Name,Year,Selling_Price,Present_Price,Kms_Driven
ritz,2014,3.35,5.59,27000
sx4,2013,4.75,9.54,43000
ciaz,2017,7.25,9.85,6900
wagon r,2011,2.85,4.15,5200
swift,2014,4.6,6.87,42450
vitara brezza,2018,9.25,9.83,2071
ciaz,2015,6.75,8.12,18796
s cross,2015,6.5,8.61,33429
ciaz,2016,8.75,8.89,20273
ciaz,2015,7.45,8.92,42367
alto 800,2017,2.85,3.6,2135
ciaz,2015,6.85,10.38,51000
ciaz,2015,7.5,9.94,15000
ertiga,2015,6.1,7.71,26000
dzire,2009,2.25,7.21,77427
ertiga,2016,7.75,10.79,43000
ertiga,2015,7.25,10.79,41678
ertiga,2016,7.75,10.79,43000
wagon r,2015,3.25,5.09,35500
sx4,2010,2.65,7.98,41442
alto k10,2016,2.85,3.95,25000
ignis,2017,4.9,5.71,2400
sx4,2011,4.4,8.01,50000
alto k10,2014,2.5,3.46,45280
wagon r,2013,2.9,4.41,56879
swift,2011,3,4.99,20000
swift,2013,4.15,5.87,55138
swift,2017,6,6.49,16200
alto k10,2010,1.95,3.95,44542
ciaz,2015,7.45,10.38,45000
ritz,2012,3.1,5.98,51439
ritz,2011,2.35,4.89,54200
swift,2014,4.95,7.49,39000
ertiga,2014,6,9.95,45000
dzire,2014,5.5,8.06,45000
sx4,2011,2.95,7.74,49998
dzire,2015,4.65,7.2,48767
800,2003,0.35,2.28,127000
alto k10,2016,3,3.76,10079
sx4,2003,2.25,7.98,62000
baleno,2016,5.85,7.87,24524
alto k10,2014,2.55,3.98,46706
sx4,2008,1.95,7.15,58000
dzire,2014,5.5,8.06,45780
omni,2012,1.25,2.69,50000
ciaz,2014,7.5,12.04,15000
ritz,2013,2.65,4.89,64532
wagon r,2006,1.05,4.15,65000
ertiga,2015,5.8,7.71,25870
ciaz,2017,7.75,9.29,37000
fortuner,2012,14.9,30.61,104707
fortuner,2015,23,30.61,40000
innova,2017,18,19.77,15000
fortuner,2013,16,30.61,135000
innova,2005,2.75,10.21,90000
corolla altis,2009,3.6,15.04,70000
etios cross,2015,4.5,7.27,40534
